title,reg_number,id
Agreement for sales of agricultural commodities. ,10015,34
"Exchange of notes constituting an agreement relating to the extension of customs free entry privileges for consular officers of either country stationed in the territory of the other country.  Washington, 9 and 10 May 1968",10016,35
"Exchange of notes constituting an agreement relating to the reciprocal granting of authorisations to permit licensed amateur radio operators of either country to operate their stations in the other country.  Georgetown, 6 and 13 May 1968",10017,36
"Exchange of notes constituting an agreement relating to the Peace Corps.  Bridgetown, 3 April 1968, and Montserrat, 16 May 1968",10018,37
Agreement for sales of agricultural commodities. ,10019,38
Exchange of notes constituting an agreement modifying the Agreement between the Government of New Zealand and the Government of Canada relating to air transport,1002,39
Agreement on co-operation,1002,40
Agreement between the Government of New Zealand and the Government of Canada relating to air transport,1002,41
Convention for the avoidance of double taxation and the regulation of certain other matters with respect to taxes on income and fortune,10020,42
Agreement. ,10021,43
Convention providing for the reciprocal recognition and enforcement of judgments in civil matters. ,10022,44
"Exchange of notes constituting an agreement extending to Guernsey, Jersey and the Isle of Man the above-mentioned Convention.  The Hague, 19 December 1974",10022,45
"Exchange of notes constituting an agreement relating to the extension to Surinam and the Netherlands Antilles of the above-mentioned Convention.   London, 2 September 1970",10022,46
"Exchange of notes constituting an agreement extending to Hong Kong the above-mentioned Convention.  The Hague, 16 and 25 November 1977",10022,47
Convention between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of South Africa   for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and capital gains,10023,48
"Exchange of notes constituting an agreement amending the Agreement of 29 April 1969, as amended",10024,49
Exchange of notes constituting an agreement concerning the abolition of visas,10024,50
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Belgrade, 19 February and 4 March 1970",10024,51
"Exchange of notes constituting an agreement concerning interim arrangements for offsetting the foreign exchange expenditure on British Forces in the Federal Republic of Germany.  Bonn, 13 and 19 May 1969",10025,52
Long Term Trade Agreement. ,10026,53
"Exchange of notes concerning an interest-free development loan by the Government of the United Kingdom of Great Britain and Northern Ireland to the Government of the Republic of Turkey--United Kingdom/Turkey Loan, No. 1, 1969.  Ankara, 23 June 1969",10027,54
"Exchange of letters constituting an agreement concerning the installation of a telemetry station at Fortaleza.  Paris, 28 May and 11 June 1968",10028,55
"Agreement between the Government of the Kingdom of the Netherlands and the Government of the Republic
of Chile concerning migration",10029,56
Funds-in-Trust Agreement,1003,57
Exchange of notes constituting an agreement between the Governments of Greece and Italy relating to Greek cultural institutions in Italy and Italian cultural institutions in Greece,1003,58
Consular Convention (with Protocol). ,10031,59
Agreement for the avoidance of double taxation on income deriving from maritime and air transport operations. ,10032,60
Agreement concerning the transport of goods by road. ,10033,61
Convention on social security. ,10034,62
"Exchange of notes constituting an agreement concerning tax relief for motor vehicles engaged in international road transport.  Paris, 31 March 1969",10035,63
"Exchange of notes constituting an agreement concening an interest-free development loan by the Government of the United Kingdom of Great Britain and Northern Ireland to theGovernment of the Republic of Indonesia - United Kingdom/Indonesia No. 3) Loan, 1969 (with annexes and related notes).  Djakarta, 29 April 1969",10036,64
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Djakarta, 17 March and 10 April 1972",10036,65
Exchange of notes amending the Headquarters Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the International Coffee Organization,10037,66
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  London, 2 and 15 May 1974",10037,67
Headquarters Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the International Coffee Organization,10037,68
Exchange of notes amending the Headquarters Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the International Sugar Organization,10038,69
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  London, 18 and 30 January 1974",10038,70
Headquarters Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the International Sugar Organization,10038,71
"Exchange of notes constituting an agreement concerning the provision of personnel of the United Kingdom Armed Forces to assist in the staffing, administration and training of the Armed Forces of Kenya.  Nairobi, 27 November 1964",10039,72
Agreement of co-operation,1004,73
Commercial Agreement between the Kingdom of Greece and the Belgo-Luxembourg Economic Union,1004,74
Agreement concerning co-operation in the peaceful uses of atomic energy. ,10040,75
"Protocol on co-operation in the exchange of teachers, students, specialists and scientific workers of higher educational establishments during the period 1969-1973.  Helsinki, 30 May 1969",10041,76
"Agreement on economic, industrial and technical co-operation. ",10042,77
"Exchange of notes constituting an agreement relating to investment guaranties.  Managua, 9 May 1966",10043,78
Consular Convention (with protocol and exchange of letters). ,10044,79
"Exchange of notes constituting an agreement for the coordination of efforts for the geodetic surveys along the 12th parallel arc across the territory of Upper Volta.  Ouagadougou, 28 June and 21 August 1967",10045,80
"Exchange of notes constituting an agreement concerning trade in cotton textiles.  Belgrade, 26 September 1967",10046,81
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement, as amended and extended.  Washington, 29 June 1971",10047,82
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement.  Washington, 22 December 1970",10047,83
"Exchange of notes constituting an agreement concerning trade in cotton textiles (with annex and related notes).  Washington, 12 October 1967",10047,84
"Exchange of notes constituting an agreement relating to mutual defense assistance.  Tokyo, 13 October 1967",10048,85
"Exchange of notes constituting an agreement concerning trade in cotton textiles.  Washington, 13 October 1967",10049,86
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement.  Washington, 18 December 1970",10049,87
Payments Agreement between the Greek Government and the Belgian Government,1005,88
Memorandum of co-operation,1005,89
Agreement for sales of agricultural commodities. ,10050,90
Agreement for sales of agricultural commodities. ,10051,91
"Exchange of notes constituting an agreement for the loan of additional Long Range Aid to Navigation (LORAN-A) equipment.  Ottawa, 27 July and 25 October 1967",10052,92
Agreement for sales of agricultural commodities. ,10053,93
Supplementary Agreement for sales of agricultural commodities. ,10054,94
"Exchange of notes constituting an agreement relating to investment guaranties.  Bathurst, 24 July and 4 November 1967",10055,95
Agreement for sales of agricultural commodities. ,10056,96
Agreement on certain fishery problems on the high seas in the Western Areas of the Middle Atlantic Ocean. ,10057,97
Agreement extending and modifying the above-mentioned Agreement. ,10057,98
"Exchange of notes constituting an agreement for the reciprocal granting of authorizatons to permit licensed amateur radio operators of either country to operate their stations in the other country.  Washington, 30 November 1967",10058,99
Agreement for sales of agricultural commodities. ,10059,100
Co-operation Agreement,1006,101
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement.  Washington, 31 December 1970",10060,102
"Exchange of notes constituting an agreement superseding the Agreement of 26 January 1965, as amended, except for the exchange of letters dated 22 November 1966, concerning trade in cotton textiles.  Washington, 11 December 1967",10060,103
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement, as amended and extended.  Washington, 30 June 1971",10060,104
EXTENSION and AMENDMENT,10060,105
Agreement for sales of agricultural commodities. ,10061,106
"Agreement on the use of certain United States Government-owned new Taiwan dollars to accrue under Title I of the Agricultural Trade Development and Assistance Act of 1954, as amended.  Taipei,12 December 1967",10062,107
"Exchange of notes constituting an agreement relating to the Peace Corps.  Bridgetown, 19 December 1966, and Grenada, 16 December 1967",10063,108
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  La Paz, 12 February and 16 April 1971",10064,109
Agreement for sales of agricultural commodities. ,10064,110
Supplementary Agreement for sales of agricultural commodities. ,10065,111
Agreement for sales of agricultural commodities. ,10066,112
Agreement for sales of agricultural commodities. ,10067,113
"Exchange of notes constituting an agreement for the establishment of a programme of co-operation known as the 'Barbados Oceanographic Meteorological Experiment (BOMEX)'.  Bridgetown, 12 June and 9 July 1968",10068,114
"Agreement on exchanges in the scientific, technical, educational, cultural and other fields in 1968-1969. ",10069,115
"Exchange of letters constituting an agreement relating to the above-mentioned Agreement.  Vienna, 19 April 1985, and Moscow, 15 May 1985",1007,116
"Payments Agreements between the Royal Government of Greece and Military Governments for Germany (French, United States and United Kingdom)  covering payment for trade between the French, United States and United Kingdom occupied areas of Germany and Greece",1007,117
Agreement on co-operation,1007,118
Supplementary Agreement for sales of agricultural commodities. ,10070,119
Supplementary Agreement for sales of agricultural commodities. ,10071,120
Supplementary Agreement for sales of agricultural commodities. ,10072,121
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Tokyo, 25 September 1969",10073,122
"Exchange of notes constituting an agreement regarding the establishment and operation of a satellite tracking station in Okinawa.  Tokyo, 2 September 1968",10073,123
"Exchange of notes constituting an agreement extending the above-mentioned Agreement, as extended.  Washington 29 December 1972",10074,124
"Exchange of notes constituting an agreement for co-operation on research of remote sensing for earth surveys.  Rio de Janeiro, 18 January and 10 September 1968",10074,125
"Exchange of notes constituting an agreement for the reciprocal granting of authorizations to permit licensed amateur radio operators of either country to operate their stations in the other country.  Bridgetown, 10 and 12 September 1968",10075,126
Agreement for sales of agricultural commodities. ,10076,127
"Exchange of notes constituting an agreement concerning trade in cotton textiles.  Washington, 18 September 1968",10077,128
"Exchange of notes constituting an agreement regarding the establishment of direct communications channels between the appropriate authorities of the two Governments on common problems of maritime transportation.  Rio de Janeiro, 18 and 20 September 1968",10078,129
"Exchange of noes constituting an agreement concerning duty certificates in implementation of article VII, paragraph 3 (a) (ii) of the Agreement between the Parties to the North Atlantic Treaty regarding the status of their forces.  Ankara, 24 September 1968",10079,130
Agreement for the transfer of assets,1008,131
Trade Agreement between the Royal Government of Greece and the Government of Finland,1008,132
Third Additional Protocol to the Trade Agreement between the Royal Government of Greece and the Government of Finland,1008,133
Fourth Additional Protocol to the Trade Agreement between the Royal Government of Greece and the Government of Finland,1008,134
"Exchange of notes constituting an agreement relating to the deployment of USS Everglades to Malta.  Valetta, 11 and 30 September 1968",10080,135
Investment Guaranty Agreement. ,10081,136
Investment Guaranty Agreement. ,10083,137
"Exchange of notes constituting an agreement terminating the Commercial Agreement of 9 January 1936 and related agreements which supplement or otherwise affect it.  Washington, 28 October 1968",10084,138
"Exchange of notes constituting an agreement concerning the establishment of a Joint Committee on Japan/United States Cultural and Educational Cooperation.  Tokyo, 8 November 1968",10085,139
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Tokyo, 25 February 1977",10085,140
"Exchange of notes constituting an agreement for disposal in Viet-Nam by the United States of excess personal property in the possession of military authorities of the Government of the United States.  Saigon, 9 November 1968",10086,141
"Exchange of notes constituting an agreement concerning extension of the loan of the vessel USS Bergall to Turkey.  Ankara, 12 November 1968",10087,142
Investment Guaranty Agreement. ,10088,143
Convention between the Kingdom of the Netherlands and the Grand Duchy of Luxembourg for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and fortune,10089,144
"Protocol to the Convention between the Kingdom of the Netherlands and the Grand Duchy of Luxembourg for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and fortune, signed at The Hague on 8 May 1968",10089,145
Loan Agreement--Housing Finance Sector Project,1009,146
Payments Agreement between the Royal Government of Greece and the Government of Finland,1009,147
Convention on social security,10090,148
Additional Agreement to the above-mentioned Agreement of 22 December 1966. ,10090,149
Third Additional Convention to the above-mentioned Convention of 22 December 1966,10090,150
Agreement for the implementation of the above-mentioned Convention. ,10090,151
Additional Convention to the above-mentioned Convention. ,10090,152
Second Additional Convention,10090,153
Loan Agreement--Seyhan Irrigation Project/Stage II (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10091,154
Development Credit Agreement--Seyhan Irrigation Project/Stage II (with annexed General Conditions Applicable to Development Credit Agreements). ,10092,155
Loan Agreement--Third Telecommunications Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10093,156
Development Credit Agreement--Third Telecommunications Project (with annexed General Conditions Applicable to Development Credit Agreements). ,10094,157
"Treaty of brotherhood, good-neighbourly relations and co-operation . ",10095,158
"Loan Agreement--Education Project (with annexed Loan Regulations No. 3, as amended). ",10096,159
"Development Credit Agreement--Education Project (with annexed Credit Regulations No. 1, as amended). ",10097,160
Guarantee Agreement--Second Sui Northern Gas Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements and Loan Agreement between the Sui Northern Gas Pipelines Limited and the Bank). ,10098,161
Agreement for Co-operation in Dealing with Pollution of the North Sea by Oil,10099,162
Extradition Treaty between Great Britain and Sweden and Norway,101,163
"Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice",101,164
Agreement on co-operation (with annexed protocol),1010,165
Protocol on liquidation between Greece and Turkey,1010,166
Protocol in order to make possible the transfer of the receipts of Turkish air and shipping lines acquired prior to the entry into force of the Payments Agreement of 2 April 1949,1010,167
Payments Agreement between Greece and Turkey,1010,168
Agreement establishing a Food and Fertiliser Technology Centre for the Asian and Pacific Region. ,10100,169
"Agreement on cultural, technical and scientific co-operation. ",10101,170
Protocol of agreement concerning the French Institute of Oriental Archaeology at Cairo. ,10102,171
Loan Agreement--Agricultural Credit Project (with annexed General Conditions applicable to Loan and Guarantee Agreements) . ,10104,172
"Guarantee Agreement--Third Development Corporation Project (with annexed General Conditions applicable to Loan and Guarantee Agreements of the Bank, Loan Agreement between the Bank and the Philippine National Bank and Project Agreement between the Bank and the Private Development Corporation of the Philippines). ",10105,173
Convention on offences and certain other acts committed on board aircraft,10106,174
Guarantee Agreement--Volta Expansion Project (with annexed General Conditions applicable to Loan and Guarantee Agreements of the Bank and Loan Agreement between the Bank and the Volta River Authority). ,10107,175
Protocol relating to the Benelux Convention on trade marks,10108,177
Second Protocol amending the regulation of the Benelux Uniform Law in respect of trade marks annexed to the Protocol of 31 July 1970 concluded in application of article 2 (1) of the Benelux Convention of 19 March 1962 on trade marks,10108,178
Protocol amending the regulation of the Benelux Uniform Law in respect of trade marks annexed to the Protocol of 31 July 1970 concluded in application of article 2 (1) of the Benelux Convention of 19 March 1962 on trade marks,10108,179
Protocol concluded in application of article 2 (1) of the Benelux Convention on trade marks,10108,180
Benelux Convention on trade marks,10108,182
Protocol modifying the Benelux uniform law on trade marks annexed to the Benelux Convention on trade marks,10108,183
Protocol amending the Benelux Uniform Law on marks,10108,184
"Agreement between the Federal Republic of Germany and the Kingdom of Belgium for the avoidance of double taxation and the regulation of certain other matters with respect to taxes on income and fortune, including the business tax and land taxes",10109,185
"Additional Agreement to the Agreement of 11 April 1967 between the Federal Republic of Germany and the Kingdom of Belgium for the avoidance of double taxation and the regulation of certain other matters with respect to taxes on income and fortune, including the business tax and land taxes, and to its Final Protocol",10109,186
Agreement on co-operation,1011,187
General Convention on social security. ,10110,188
"Treaty of friendship, co-operation and mutual assistance. ",10111,189
"Loan Agreement--Fisheries Project (with annexed Loan Regulations No. 3, as amended, and Project Agreement between the Bank and the Corporacion Financiera Nacional)",10112,190
Agreement amending Loan Agreement (Fisheries Project) of 5 September 1968 between the Republic of Ecuador and the International Bank for Reconstruction and Development,10112,191
"Agreement amending the Loan Agreement (Fisheries Project) of 5 September 1968 between the Republic of Ecuador and the International Bank for Reconstruction and Development, as amended",10112,192
"Letter Agreement amending the above-mentioned Loan Agreement (Fisheries Project) of 5 September 1968 between the Republic of Ecuador and the International Bank for Reconstruction and Development, as amended",10112,193
"Letter Agreement amending the Loan Agreement (Fisheries Project) of 5 September 1968 between the Republic of Ecuador and the International Bank for Reconstruction and Development, as amended",10112,194
Letter Agreement amending the Loan Agreement (Fisheries Project) between the Republic of Ecuador and the International Bank for Reconstruction and Development,10112,195
Guarantee Agreement--Fifth Industrial Development Bank Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements of the Bank and Loan Agreementbetween the Bank and the Turkiye Sinai Kalkinma Bankasi A.S.). ,10113,196
"Exchange of notes constituting an agreement concerning an interest-free development loan by the Government of the United Kingdom to the Government of Jordan.  Amman, 19 and 27March 1969",10114,197
"Exchange of notes constituting an agreement concerning an interest-free development loan by the Government of the United Kingdom to the Government of Jordan.  Amman, 8 and 24 May 1969",10115,198
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Djakarta, 17 March and 10 April 1972",10116,199
"Exchange of notes constituting an agreement concerning an interest-free development loan by the Government of the United Kingdom to the Government of Indonesia--United Kingdom/Indonesia No. 4 Loan, 1969 (with annexes and additional notes).  Djakarta, 25 June 1969",10116,200
"Exchange of notes constituting an agreement concerning an interest-free loan towards the cost of the Prek Thnot (Cambodia) Power and Irrigation Development Project--UnitedKingdom/Cambodia (Prek Thnot) Loan, 1969.  Phnom Penh, 9 July 1969",10117,201
"Exchange of notes constituting an agreement concerning the guarantee by the Government of the United Kingdom and the maintenance of the minimum sterling proportion by Western Samoa.  Wellington and Apia, 23 July 1969",10118,202
"Loan Agreement--Highway Construction Project (with annexed Loan Regulations No. 3, as amended). ",10119,203
Protocol of liquidation of non-commercial assets,1012,204
Cooperation Agreement,1012,205
"Loan Agreement--Agricultural Credit Project (with annexed Loan Regulations No. 3, as amended). ",10120,206
"Development Credit Agreement--Agricultural Credit Project (with annexed Credit Regulations No. 1, as amended) ",10121,207
Guarantee Agreement--Douala and YaoundÂ© Water Supply Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements of the Bank and Loan Agreementbetween the Bank and the SociÂ©tÂ© nationale des eaux du Cameroun). ,10122,208
Agreement relating to air services.,10123,209
"Exchange of notes constituting an agreement to secure social security benefits for Philippine citizen civilian employees of the Agency for International Development Mission to the Philippines.  Manila, 12 Novembre 1964 and 10 march 1965",10124,210
"Exchange of notes constituting an agreement to secure social security benefits for Philippine citizen civilian employees of the Peace Corps and the Joint U.S. Military Advisory Group (JUSMAG).  Manila, 5 April and 15 July 1965",10125,211
"Exchange of notes constituting an agreement on the use of the Special Fund for Education for the School Building Construction Project, 1967-1968 (with annexes and related notes of 26 April 1966).  Manila, 18 may 1967",10126,212
"Exchange of notes constituting an agreement on the use of the Special Fund for Education for the Textbook Production  Project, 1967-1968 (with annexes and related notes of 26 April 1966).  Manila, 26 June 1967",10127,213
"Exchange of notes constituting an agreement on the use of the Special Fund for Education for the Cultural Development Project (with annexes and related notes of 26 April 1966).  Manila, 11 August 1967",10128,214
"Exchange of notes constituting an agreement concerning relinquishment of certain United States base lands in the Philippines.  Manila, 30 April 1968",10129,215
Assignment Agreement--Fourth Caribbean Development Bank: Regional Vocational and Technical Education Project,1013,216
Agreement between the Royal Hellenic Government and the Government of the Syrian Republic relating to civil air services between their respective territories,1013,217
"Exchange of notes constituting an agreement on the use of the Special Fund for Education for the Fund for Assistance to Private Education (with annex and related notes of 26 April 1966).  Manila, 11June 1968",10130,218
Agreement for co-operation concerning civil uses of atomic energy. ,10131,219
"Exchange of notes constituting an agreement for United States assistance in undertaking an artificial rain stimulation project.  Manila, 23 and 24 April 1969",10132,220
Agreement for sales of agricultural commodities. ,10133,221
"Exchange of notes constituting an agreement for the transfer of title to the USS Charles Ausburne to the Federal Republic of Germany.  Bonn and Bad Godesberg, 27 February 1968",10134,222
Supplementary Agreement for sales of agricultural commodities. ,10135,223
Supplementary Agreement for sales of agricultural commodities. ,10136,224
Supplementary Agreement for sales of agricultural commodities.,10137,225
"Exchange of notes constituting an agreement for the extablishment of a co-operative program for the operation and maintenance of a network of rawinsonde observation stations in Brazil.  Rio de Janeiro, 12 March 1968",10138,226
Supplementary Agreement for sales of agricultural commodities. ,10139,227
Agreement between Italy and Greece for economic collaboration and the settlement of questions arising from the Treaty of Peace between the Allied and Associated Powers and Italy,1014,228
Development Credit Agreement--Fourth Caribbean Development Bank: Regional Vocational and Technical Education Project,1014,229
" Exchange of letters constituting a supplementary agreement to the above-mentioned Protocol.  Athens, 21 March 1954",1014,230
Protocol revoking parts II and III of the Agreement between Italy and Greece for economic collaboration and the settlement of questions arising from the Treaty of Peace between the Allied and Associated Powers and Italy French title:		,1014,231
Supplementary Agreement for sales of agricultural commodities. ,10140,232
Supplementary Agreement for sales of agricultural commodities. ,10141,233
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Seoul, 6 May 1971",10141,234
Supplementary Agreement for sales of agricultural commodities. ,10142,235
"Exchange of notes constituting an agreement relating to the Peace Corps.  Managua, 23 and 25 May 1968",10143,236
"Exchange of notes constituting an agreement concerning seismic array research and plans for utilizing a seismic array facility to be installed and operated in Norway.  Oslo, 15 June 1968",10145,237
"Exchange of notes constituting an agreement relating to the loan of the vessel U.S.S. Yarnall to the Republic of China.  Taipei, 18 June 1968",10146,238
"Exchange of notes constituting an agreement regarding a gift of facilities for producing potable water.  Madrid, 25 June 1968",10147,239
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Signed at Kabul, 1 February and 15 March 1969",10148,240
Supplementary Agreement for sales of agricultural commodities. ,10148,241
"Exchange of notes constituting an agreement concerning the establishment of principles for scientific co-operation.  Tunis, 17 July 1968",10149,242
Loan Agreement--Kyonggi Regional Transport Project,1015,243
Agreement for sales of agricultural commodities. ,10150,244
"Exchange of notes constituting an agreement for the reciprocal granting for authorizations to permit licensed amateur radio operators of either country to operate their stations in the other country.Djakarta, 10 December 1968",10151,245
Agreement for sales of agricultural commodities. ,10152,246
Agreement for sales of agricultural commodities. ,10153,247
"Exchange of notes constituting an agreement amending the above-mentionedAgreement.  La Paz, 24 March 1971 and 20 April 1972",10154,248
Agreement for sales of agricultural commodities. ,10154,249
"Exchange of notes constituting an agreement concerning co-operation and assistance in geological studies regarding a sea level canal site along Route 10 (Caimito-Palmas Bellas).  Panama, 20 March 1969",10155,250
"Exchange of notes constituting an agreement for the acquisition and production in Japan of the F-4EJ aircraft and related equipment and materials necessary to enhance the defense capability of Japan.  Tokyo, 4 April 1969",10156,251
"Exchange of notes constituting an agreement concerning trade in cotton textiles.  Athens, 8 April 1969",10157,252
Agreement for sales of agricultural commodities. ,10158,253
"Exchange of notes constituting an agreement continuing the cooperative program for the operation of the rawinsonde observation station at Santo Domingo.  Santo Domingo, 7 and 11 April 1969",10159,254
"Convention (No. 60) concerning the age for admission of children to non-industrial employment (revised 1937), as modified by the Final Articles Revision Convention, 1946",1016,255
Cooperation Agreement,1016,256
Supplementary Agreement for sales of agricultural commodities. ,10160,257
Agreement for the establishment of scheduled air services between and beyond their respective territories. ,10161,258
Agreement regarding the Far East and Pacific Office of the said Organization. ,10162,259
Convention concerning public assistance and juvenile welfare (with Final Protocol and appendices).  Sigend at Bonn on 17 January 1966,10163,260
Agreement for the implementation of the above-mentioned Convention. ,10163,261
Agreement for air services between and beyond their respective territories. ,10164,262
Agreement concerning air services. ,10165,263
Agreement relating to air services. ,10166,264
"Exchange of notes constituting an agreement modifying the above-mentioned Agreement.  Singapore, 20 October 1975 and 22 March 1976",10167,265
Agreement relating to air services. ,10167,266
Agreement relating to air services between the Republic of South Africa and Belgium,10168,267
Loan Agreement--Education Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10169,268
Convention (No. 77) concerning medical examination for fitness for employment in industry of children and young persons,1017,269
Agreement on technical cooperation,1017,270
Agreement for the provision of operational and executive personnel. ,10170,271
Treaty of friendship and co-operation. ,10172,272
Cultural Agreement. ,10173,273
Agreement on fisheries. ,10174,274
Agreement between the Government of the Commonwealth of Australia and the Government of the Republic of Singapore for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income,10175,275
Protocol amending Agreement of 11 February 1969 (with exchange of notes dated 20 October 1989).,10175,276
"Exchange of notes constituting an agreement to extend the above-mentioned Agreement.  Canberra, 21 May 1975",10175,277
"Exchange of notes constituting an agreement amending the Agreement of 11 February 1969, as amended and extended",10175,278
"Exchange of notes constituting an agreement on visas and visa fees.  London, 29 April 1969",10176,279
"Exchange of notes constituting an agreement relating to the issue of gratis visas to visitors.  Canberra, 16 July 1969",10177,280
Agreement regarding a loan by the Kingdom of Denmark to the Ivory Coast (with annex and exchange of notes). ,10178,281
Cultural Agreement. ,10179,282
Guarantee Agreement--Third Technology Development Project,1018,283
Convention (No. 78) concerning medical examination of children and young persons for fitness for employment in non-industrial occupations,1018,284
Agreement on scheduled air transport. ,10180,285
Cultural Agreement. ,10181,286
Agreement on co-operation in the field of the peaceful uses of nuclear energy. ,10182,287
Agreement on investments and industrial complementarity. ,10183,288
Agreement on co-operation in the field of the peaceful uses of nuclear energy. ,10184,289
Agreement concerning the Paysandu-Colon bridge. ,10185,290
Cultural Agreement between the Argentine Republic and the Republic of Korea,10186,291
"Exchange of notes constituting an agreement concerning the establishment of the Jean Mermoz Franco-Argentine Cultural Foundation.  Buenos Aires, 21 March 1969",10187,292
Basic Agreement on co-operation in scientific research and technological development. ,10188,293
"Exchange of letters constituting an agreement implementing the above-mentioned Agreement.  Buenos Aires, 1 December 1972",10188,294
Trade Agreement between the Argentine Republic and the Republic of Romania ,10189,295
